videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId
1mGOWxLqcEk,"To me the most powerful threads in the score all feature the Rohan theme, with the hardangar-fiddle crying like a wounded animal committed to one last fight.","To me the most powerful threads in the score all feature the Rohan theme, with the hardangar-fiddle crying like a wounded animal committed to one last fight.",Eric Scoles,https://yt3.ggpht.com/ytc/AL5GRJV-MvmqYP1yBxZczzCD6IWQJSuRtZDEdqTMsOOX2Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCzOqQzacyHkeGXXnE2C4H2w,{'value': 'UCzOqQzacyHkeGXXnE2C4H2w'},True,none,0,2023-03-10T18:13:48Z,2023-03-10T18:13:48Z,,UgyUBbmap3ssOA3B_WN4AaABAg
1mGOWxLqcEk,Cómo ves Jehová a Ángel 😇🤣😃🤣😃🤣 atte 🤣😂 Blanca 😸😍🙂😉😍 Esther 😛🤣😃🤣,Cómo ves Jehová a Ángel 😇🤣😃🤣😃🤣 atte 🤣😂 Blanca 😸😍🙂😉😍 Esther 😛🤣😃🤣,Lazaro Hernandez,https://yt3.ggpht.com/ytc/AL5GRJUSmslgj51PCLy5jIOAw2RmX2B4RQTUknc9_jRiNArmiyroUxE3XSlCHRRO5xTx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeh6fzh0s0xQ4sEepqMw_Wg,{'value': 'UCeh6fzh0s0xQ4sEepqMw_Wg'},True,none,0,2023-03-07T19:07:27Z,2023-03-07T19:07:27Z,,Ugw42mgPSVL_FgSviNB4AaABAg
1mGOWxLqcEk,Rohirové !!!!!!!!!!!!!!,Rohirové !!!!!!!!!!!!!!,Ondřej Vlášek,https://yt3.ggpht.com/ytc/AL5GRJXIjEQbLzichfEgf9oMP_SIwQ2Md3kVD3iMokcGewZZ9UeBaPMddhWvcloc081b=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCivYYozaUcG06xoTe_oFY2Q,{'value': 'UCivYYozaUcG06xoTe_oFY2Q'},True,none,0,2023-03-03T23:21:51Z,2023-03-03T23:21:51Z,,UgzXyLhB-Hux3o7GEWV4AaABAg
1mGOWxLqcEk,Jehová nuestros hijos van a pelear por Ángel 😇🤣🤣😂😅 si 🤠😊😻😻😻😜 no 😞😂😂😃🙂😂😂😂 atte 🤣🤣 Blanca 🤣🤣😂😅😂 Esther 😜🤪😸😍🙂😉😃🙂😂,Jehová nuestros hijos van a pelear por Ángel 😇🤣🤣😂😅 si 🤠😊😻😻😻😜 no 😞😂😂😃🙂😂😂😂 atte 🤣🤣 Blanca 🤣🤣😂😅😂 Esther 😜🤪😸😍🙂😉😃🙂😂,Lazaro Hernandez,https://yt3.ggpht.com/ytc/AL5GRJUSmslgj51PCLy5jIOAw2RmX2B4RQTUknc9_jRiNArmiyroUxE3XSlCHRRO5xTx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeh6fzh0s0xQ4sEepqMw_Wg,{'value': 'UCeh6fzh0s0xQ4sEepqMw_Wg'},True,none,0,2023-03-01T18:47:18Z,2023-03-01T18:47:18Z,,Ugwqz5zF9rvUfQFARvB4AaABAg
1mGOWxLqcEk,ein absolutes Meisterwerk,ein absolutes Meisterwerk,Woanko,https://yt3.ggpht.com/ytc/AL5GRJWs2ZuUuQcTdNQMg02v4U_ay555OSjQZlXVKA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCjafys0X71-t-ngMmY_zzzA,{'value': 'UCjafys0X71-t-ngMmY_zzzA'},True,none,1,2023-02-28T18:12:34Z,2023-02-28T18:12:34Z,,UgxslZx-3lgw0RKaGBh4AaABAg
1mGOWxLqcEk,i swear i cry everytime when i see the Rohirrim charge the orcs on Pellennor...,i swear i cry everytime when i see the Rohirrim charge the orcs on Pellennor...,TheBaffoon 87,https://yt3.ggpht.com/ytc/AL5GRJVhIGecZJZ9sjzNyG-3ZTizZcMO6P_iLDcYVXikrQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCi74zK7BLBUXJnxR7_buuvA,{'value': 'UCi74zK7BLBUXJnxR7_buuvA'},True,none,2,2023-02-28T13:03:28Z,2023-02-28T13:03:28Z,,Ugwq4p-NqSVX4AT-EPR4AaABAg
1mGOWxLqcEk,Jehová estos son nuestros hijos e hijas sí ☺️😹😞😂 no  atte Blanca 😸😍 Esther 😜🤪,Jehová estos son nuestros hijos e hijas sí ☺️😹😞😂 no  atte Blanca 😸😍 Esther 😜🤪,Lazaro Hernandez,https://yt3.ggpht.com/ytc/AL5GRJUSmslgj51PCLy5jIOAw2RmX2B4RQTUknc9_jRiNArmiyroUxE3XSlCHRRO5xTx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeh6fzh0s0xQ4sEepqMw_Wg,{'value': 'UCeh6fzh0s0xQ4sEepqMw_Wg'},True,none,0,2023-02-26T16:32:11Z,2023-02-26T16:32:11Z,,UgxrYgdhA1kylt8ypNx4AaABAg
1mGOWxLqcEk,Eowyn is my middle name and I love it!,Eowyn is my middle name and I love it!,Eowyn,https://yt3.ggpht.com/ytc/AL5GRJUojY6VLQOviBHN0Y4VPhNqaLZIa9MiUQ2GNNxa=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCzneh0-OlB9UbkL5SrDOjPg,{'value': 'UCzneh0-OlB9UbkL5SrDOjPg'},True,none,0,2023-02-25T18:01:37Z,2023-02-25T18:01:37Z,,UgygpWkiOv-yTfkZnD94AaABAg
1mGOWxLqcEk,Son espléndido nuestros hijos e hijas y quieren a Ángel 😇😃🤣 y Jesucristo y ellos 😃🤣😃 también los y las quieren que se casen con una de ellas 😘😽😘 cada uno. Atte 🤣🤣 Blanca Esther 🙂😸😍😍🙂😍 Jehová si 🤠😊😻😻😜😻 no,Son espléndido nuestros hijos e hijas y quieren a Ángel 😇😃🤣 y Jesucristo y ellos 😃🤣😃 también los y las quieren que se casen con una de ellas 😘😽😘 cada uno. Atte 🤣🤣 Blanca Esther 🙂😸😍😍🙂😍 Jehová si 🤠😊😻😻😜😻 no,Lazaro Hernandez,https://yt3.ggpht.com/ytc/AL5GRJUSmslgj51PCLy5jIOAw2RmX2B4RQTUknc9_jRiNArmiyroUxE3XSlCHRRO5xTx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCeh6fzh0s0xQ4sEepqMw_Wg,{'value': 'UCeh6fzh0s0xQ4sEepqMw_Wg'},True,none,0,2023-02-25T16:19:00Z,2023-02-25T16:19:00Z,,UgyY3ipw01ZTe3i3qbB4AaABAg
1mGOWxLqcEk,❤,❤,Phi Massalia,https://yt3.ggpht.com/ytc/AL5GRJUZNIdByJaclOQ3pSpZiREgeeZhIPq2-IGHngv8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCC3sctNYxPpHrTaJlRWMN7Q,{'value': 'UCC3sctNYxPpHrTaJlRWMN7Q'},True,none,0,2023-02-25T13:33:04Z,2023-02-25T13:33:04Z,,UgzCgLkXUjHbKiJE2Lt4AaABAg
